rowID;date;department;team;targeted_productivity;smv;wip;over_time;incentive;idle_time;idle_men;no_of_style_change;no_of_workers;actual_productivity
128;08/01/2015 00:00;finishing ;4;0,8;3,94;NaN;12600;0;0;0;0;20;0,919905405
129;08/01/2015 00:00;sweing;9;0,8;26,16;1216;10620;88;0;0;0;59;0,900215716
130;08/01/2015 00:00;finishing ;9;0,8;3,94;NaN;1440;0;0;0;0;8;0,891723485
131;08/01/2015 00:00;sweing;1;0,8;26,16;1189;10620;75;0;0;0;59;0,850502311
132;08/01/2015 00:00;sweing;4;0,8;28,08;942;10530;75;0;0;0;58,5;0,850181818
133;08/01/2015 00:00;sweing;7;0,8;25,9;1050;10170;60;0;0;0;56,5;0,850136766
134;08/01/2015 00:00;sweing;8;0,8;25,9;1026;10170;60;0;0;0;56,5;0,850136766
135;08/01/2015 00:00;finishing ;2;0,8;3,94;NaN;1440;0;0;0;0;8;0,835757576
136;08/01/2015 00:00;finishing ;5;0,7;4,15;NaN;3840;0;0;0;0;8;0,821354167
137;08/01/2015 00:00;sweing;2;0,8;28,08;783;10050;63;0;0;0;58,5;0,800497246
138;08/01/2015 00:00;sweing;3;0,8;19,87;857;9900;50;0;0;0;55;0,800273829
139;08/01/2015 00:00;sweing;12;0,8;11,61;548;15120;63;0;0;0;31,5;0,800107143
140;08/01/2015 00:00;sweing;6;0,8;11,41;411;14640;50;0;0;0;30,5;0,800024932
141;08/01/2015 00:00;sweing;10;0,75;28,08;1066;10530;69;0;0;0;58,5;0,8
142;08/01/2015 00:00;finishing ;10;0,75;3,94;NaN;1440;0;0;0;0;8;0,779791667
143;08/01/2015 00:00;finishing ;8;0,8;2,9;NaN;1440;0;0;0;0;8;0,735984848
144;08/01/2015 00:00;finishing ;3;0,75;4,15;NaN;2160;0;0;0;0;12;0,712626263
145;08/01/2015 00:00;finishing ;7;0,8;2,9;NaN;1440;0;0;0;0;8;0,681060606
146;08/01/2015 00:00;finishing ;11;0,8;4,15;NaN;900;0;0;0;0;5;0,515606061
147;08/01/2015 00:00;sweing;11;0,35;12,52;287;25920;38;0;0;0;54;0,349951389
148;08/01/2015 00:00;sweing;5;0,7;42,41;724;10260;0;0;0;0;57;0,233705476
149;10/01/2015 00:00;finishing ;1;0,8;3,94;NaN;2160;0;0;0;0;8;0,985
150;10/01/2015 00:00;finishing ;3;0,75;4,15;NaN;2760;0;0;0;0;12;0,930340376
151;10/01/2015 00:00;finishing ;4;0,8;3,94;NaN;6000;0;0;0;0;20;0,911589744
152;10/01/2015 00:00;finishing ;9;0,8;3,94;NaN;1440;0;0;0;0;8;0,858143939
153;10/01/2015 00:00;sweing;9;0,8;26,16;1122;10620;75;0;0;0;59;0,851174114
154;10/01/2015 00:00;sweing;7;0,8;25,9;970;10170;60;0;0;0;56,5;0,850136766
155;10/01/2015 00:00;sweing;8;0,8;25,9;1158;10170;60;0;0;0;56,5;0,850136766
156;10/01/2015 00:00;finishing ;10;0,8;3,94;NaN;1440;0;0;0;0;8;0,846950758
157;10/01/2015 00:00;finishing ;11;0,8;4,15;NaN;1440;0;0;0;0;8;0,817424242
158;10/01/2015 00:00;finishing ;2;0,8;3,94;NaN;1440;0;0;0;0;8;0,817102273
159;10/01/2015 00:00;sweing;4;0,8;28,08;660;10440;63;0;0;0;58;0,801028213
160;10/01/2015 00:00;sweing;2;0,8;28,08;749;10350;63;0;0;0;57,5;0,800594466
161;10/01/2015 00:00;sweing;12;0,8;11,61;893;4710;50;0;0;0;31,5;0,800346445
162;10/01/2015 00:00;sweing;6;0,8;11,41;887;5490;50;0;0;0;30,5;0,800343766
163;10/01/2015 00:00;sweing;1;0,8;26,16;1335;10620;63;0;0;0;59;0,800117103
164;10/01/2015 00:00;sweing;10;0,8;28,08;1082;10530;63;0;0;0;58,5;0,8
165;10/01/2015 00:00;sweing;3;0,75;19,87;1075;7080;45;0;0;0;56;0,750098351
166;10/01/2015 00:00;sweing;11;0,5;12,52;749;9540;38;0;0;0;53;0,673245283
167;10/01/2015 00:00;finishing ;7;0,8;2,9;NaN;1440;0;0;0;0;8;0,670075758
168;10/01/2015 00:00;finishing ;8;0,8;2,9;NaN;1440;0;0;0;0;8;0,628882576
169;10/01/2015 00:00;sweing;5;0,5;20,79;966;7680;0;0;0;0;56;0,388007813
170;10/01/2015 00:00;finishing ;5;0,5;4,15;NaN;1440;0;0;0;0;8;0,337973485
171;11/01/2015 00:00;finishing ;3;0,75;4,15;NaN;1440;0;0;0;0;8;0,93532197
172;11/01/2015 00:00;finishing ;4;0,8;3,94;NaN;3600;0;0;0;0;20;0,925643939
173;11/01/2015 00:00;sweing;9;0,8;26,16;1095;10620;88;0;0;0;59;0,900215716
174;11/01/2015 00:00;finishing ;1;0,8;3,94;NaN;1440;0;0;0;0;8;0,873068182
175;11/01/2015 00:00;finishing ;9;0,8;3,94;NaN;1440;0;0;0;0;8;0,858143939
176;11/01/2015 00:00;sweing;1;0,8;26,16;1383;10620;75;0;0;0;59;0,850502311
177;11/01/2015 00:00;sweing;7;0,8;25,9;1012;10170;45;0;0;0;56,5;0,850136766
178;11/01/2015 00:00;sweing;8;0,8;25,9;1209;10170;60;0;0;0;56,5;0,850136766
179;11/01/2015 00:00;finishing ;10;0,8;3,94;NaN;1440;0;0;0;0;8;0,828295455
180;11/01/2015 00:00;finishing ;2;0,8;3,94;NaN;1440;0;0;0;0;8;0,820833333
181;11/01/2015 00:00;sweing;6;0,8;11,41;887;5490;50;0;0;0;30,5;0,800343766
182;11/01/2015 00:00;sweing;12;0,8;11,61;896;5670;50;0;0;0;31,5;0,800246753
183;11/01/2015 00:00;sweing;2;0,8;28,08;805;10530;63;0;0;0;58,5;0,8
184;11/01/2015 00:00;sweing;10;0,8;28,08;762;10530;38;0;0;0;58,5;0,8
185;11/01/2015 00:00;sweing;3;0,8;19,87;1043;6420;0;0;0;0;55;0,690182815
186;11/01/2015 00:00;finishing ;11;0,8;4,15;NaN;1440;0;0;0;0;8;0,668087121
187;11/01/2015 00:00;finishing ;8;0,8;2,9;NaN;1440;0;0;0;0;8;0,653598485
188;11/01/2015 00:00;finishing ;5;0,5;4,15;NaN;1440;0;0;0;0;8;0,609138258
189;11/01/2015 00:00;sweing;11;0,6;12,52;831;9540;30;0;0;0;53;0,600229846
190;11/01/2015 00:00;finishing ;6;0,8;2,9;NaN;1440;0;0;0;0;8;0,597348485
191;11/01/2015 00:00;finishing ;7;0,8;2,9;NaN;1440;0;0;0;0;8;0,590435606
192;11/01/2015 00:00;sweing;4;0,8;50,48;562;10440;0;0;0;0;58;0,473134796
193;11/01/2015 00:00;sweing;5;0,6;20,79;1208;7980;0;0;0;0;57;0,452979626
194;12/01/2015 00:00;finishing ;1;0,8;3,94;NaN;1440;0;0;0;0;8;0,955151515
195;12/01/2015 00:00;finishing ;4;0,35;4,3;NaN;3240;0;0;0;0;18;0,942213805
196;12/01/2015 00:00;finishing ;3;0,8;4,15;NaN;1800;0;0;0;0;10;0,905454545
197;12/01/2015 00:00;finishing ;2;0,8;3,94;NaN;1440;0;0;0;0;8;0,880530303
198;12/01/2015 00:00;finishing ;9;0,8;3,94;NaN;1440;0;0;0;0;8;0,858143939
199;12/01/2015 00:00;sweing;1;0,8;26,16;1099;8220;75;0;0;0;59;0,850522167
200;12/01/2015 00:00;sweing;9;0,8;26,16;1093;10620;75;0;0;0;59;0,850502311
201;12/01/2015 00:00;sweing;7;0,8;25,9;1031;10170;60;0;0;0;56,5;0,850136766
202;12/01/2015 00:00;sweing;8;0,8;25,9;1233;10170;60;0;0;0;56,5;0,850136766
203;12/01/2015 00:00;finishing ;6;0,8;2,9;NaN;1440;0;0;0;0;8;0,817424242
204;12/01/2015 00:00;finishing ;5;0,65;4,15;NaN;1440;0;0;0;0;8;0,809564394
205;12/01/2015 00:00;sweing;3;0,8;19,87;941;9900;0;0;0;0;55;0,800273829
206;12/01/2015 00:00;sweing;6;0,8;11,41;843;5670;50;0;0;0;31,5;0,800181818
207;12/01/2015 00:00;sweing;12;0,8;11,61;760;4470;50;0;0;0;31,5;0,80007657
208;12/01/2015 00:00;sweing;2;0,8;28,08;737;10530;63;0;0;0;58,5;0,8
209;12/01/2015 00:00;finishing ;8;0,8;2,9;NaN;1440;0;0;0;0;8;0,725
210;12/01/2015 00:00;sweing;10;0,8;50,48;381;6930;45;0;0;0;58,5;0,688557555
211;12/01/2015 00:00;sweing;5;0,65;20,79;1141;8460;0;0;0;0;59;0,650040783
212;12/01/2015 00:00;sweing;11;0,65;12,52;1004;9540;44;0;0;0;53;0,64998056
213;12/01/2015 00:00;finishing ;7;0,8;2,9;NaN;1440;0;0;0;0;8;0,648106061
214;12/01/2015 00:00;finishing ;11;0,8;4,15;NaN;1440;0;0;0;0;8;0,640577652
215;12/01/2015 00:00;sweing;4;0,35;22,4;581;7350;0;0;0;0;51,5;0,35063299
216;12/01/2015 00:00;finishing ;10;0,8;3,94;NaN;1440;0;0;0;0;8;0,24625
217;13/01/2015 00:00;finishing ;4;0,35;4,3;NaN;2160;0;0;0;0;12;0,952020202
218;13/01/2015 00:00;finishing ;1;0,8;3,94;NaN;1440;0;0;0;0;2;0,951420455
219;13/01/2015 00:00;finishing ;10;0,8;3,94;NaN;5400;0;0;0;0;20;0,912766667
220;13/01/2015 00:00;finishing ;3;0,8;4,15;NaN;1620;0;0;0;0;9;0,901262626
221;13/01/2015 00:00;finishing ;9;0,8;3,94;NaN;1440;0;0;0;0;8;0,858143939
222;13/01/2015 00:00;sweing;1;0,8;26,16;1073;10620;75;0;0;0;59;0,850502311
223;13/01/2015 00:00;sweing;9;0,8;26,16;1156;10620;75;0;0;0;59;0,850502311
224;13/01/2015 00:00;sweing;8;0,8;25,9;1211;10260;60;0;0;0;57;0,850252525
225;13/01/2015 00:00;sweing;7;0,8;25,9;1126;10170;60;0;0;0;56,5;0,850136766
226;13/01/2015 00:00;finishing ;5;0,65;4,15;NaN;1440;0;0;0;0;8;0,821354167
227;13/01/2015 00:00;finishing ;2;0,8;3,94;NaN;1440;0;0;0;0;8;0,805909091
228;13/01/2015 00:00;sweing;6;0,8;11,61;1004;5670;50;0;0;0;31,5;0,800246753
229;13/01/2015 00:00;sweing;12;0,8;11,61;1063;5670;50;0;0;0;31,5;0,800246753
230;13/01/2015 00:00;sweing;2;0,8;28,08;723;10530;50;0;0;0;58,5;0,8
231;13/01/2015 00:00;sweing;3;0,8;42,27;465;9900;54;0;0;0;55;0,705576584
232;13/01/2015 00:00;finishing ;8;0,8;2,9;NaN;1440;0;0;0;0;8;0,681060606
233;13/01/2015 00:00;finishing ;7;0,8;2,9;NaN;1440;0;0;0;0;8;0,670075758
234;13/01/2015 00:00;finishing ;11;0,8;4,15;NaN;1440;0;0;0;0;8;0,601278409
235;13/01/2015 00:00;sweing;11;0,7;27,13;530;9540;37;0;0;0;53;0,582301029
236;13/01/2015 00:00;sweing;5;0,7;20,79;1297;10440;0;0;0;0;58;0,526810345
237;13/01/2015 00:00;sweing;4;0,5;22,4;783;10170;23;0;0;0;56,5;0,500380799
238;13/01/2015 00:00;sweing;10;0,35;22,4;715;10170;23;0;0;0;56,5;0,35020649
239;14/01/2015 00:00;finishing ;11;0,8;4,15;NaN;1980;0;0;0;0;7;0,934607438
240;14/01/2015 00:00;finishing ;4;0,35;4,3;NaN;2700;0;0;0;0;8;0,908080808
241;14/01/2015 00:00;sweing;7;0,8;25,9;1150;10170;70;0;0;0;56,5;0,900144811
242;14/01/2015 00:00;finishing ;1;0,8;3,94;NaN;1440;0;0;0;0;8;0,891723485
243;14/01/2015 00:00;finishing ;5;0,65;4,15;NaN;1440;0;0;0;0;15;0,864583333
244;14/01/2015 00:00;finishing ;9;0,8;3,94;NaN;1440;0;0;0;0;8;0,858143939
245;14/01/2015 00:00;sweing;9;0,8;26,16;1232;10620;75;0;0;0;59;0,850502311
246;14/01/2015 00:00;sweing;8;0,8;25,9;1218;10170;60;0;0;0;56,5;0,850136766
247;14/01/2015 00:00;finishing ;7;0,8;2,9;NaN;1440;0;0;0;0;8;0,837594697
248;14/01/2015 00:00;finishing ;3;0,8;4,15;NaN;1440;0;0;0;0;7;0,820833333
249;14/01/2015 00:00;sweing;12;0,8;11,61;1159;2970;50;0;0;0;31,5;0,800313433
250;14/01/2015 00:00;sweing;6;0,8;11,61;972;5670;38;0;0;0;31,5;0,800246753
251;14/01/2015 00:00;sweing;1;0,8;26,16;1092;10620;63;0;0;0;59;0,800117103
252;14/01/2015 00:00;sweing;5;0,7;20,79;965;7320;0;0;0;0;58;0,700095563
253;14/01/2015 00:00;finishing ;8;0,8;2,9;NaN;1440;0;0;0;0;8;0,667329545
254;14/01/2015 00:00;sweing;4;0,6;22,4;816;5100;23;0;0;0;57;0,600369686
255;14/01/2015 00:00;sweing;10;0,5;22,4;947;3390;23;0;0;0;56,5;0,499980334
256;14/01/2015 00:00;sweing;11;0,35;14,61;838;7200;23;0;0;0;55;0,35003125
257;14/01/2015 00:00;finishing ;10;0,8;3,94;NaN;1260;0;0;0;0;8;0,332359307
258;14/01/2015 00:00;sweing;2;0,8;51,02;1086;4260;27;0;0;0;57;0,311207464
259;14/01/2015 00:00;finishing ;2;0,8;3,94;NaN;1260;0;0;0;0;8;0,247316017
260;15/01/2015 00:00;finishnig ;4;0,35;4,3;NaN;3600;0;0;0;0;20;0,988636364
261;15/01/2015 00:00;finishing ;10;0,8;3,94;NaN;3420;0;0;0;0;19;0,953110048
262;15/01/2015 00:00;finishing ;1;0,8;3,94;NaN;1440;0;0;0;0;8;0,884261364
263;15/01/2015 00:00;finishing ;5;0,65;4,15;NaN;1440;0;0;0;0;8;0,860653409
264;15/01/2015 00:00;finishing ;9;0,8;3,94;NaN;1440;0;0;0;0;8;0,858143939
265;15/01/2015 00:00;swenig;1;0,8;26,16;1160;10620;75;0;0;0;59;0,850502311
266;15/01/2015 00:00;sweing;8;0,8;25,9;1177;8970;60;0;0;0;56,5;0,850415628
267;15/01/2015 00:00;sweing;7;0,8;25,9;1281;10170;60;0;0;0;56,5;0,850136766
268;15/01/2015 00:00;sweing;9;0,8;26,16;1369;10620;63;0;0;0;59;0,800117103
269;15/01/2015 00:00;sweing;6;0,8;11,61;1084;4950;38;0;0;0;31,5;0,80003139
270;15/01/2015 00:00;sweing;12;0,8;11,61;1216;4950;50;0;0;0;31,5;0,80003139
271;15/01/2015 00:00;sweing;5;0,7;20,79;391;10440;0;0;0;0;58;0,700060345
272;15/01/2015 00:00;finishing ;7;0,8;2,9;NaN;1440;0;0;0;0;8;0,689299242
273;15/01/2015 00:00;sweing;3;0,5;22,52;1102;10170;30;0;0;0;56,5;0,660683293
274;15/01/2015 00:00;sweing;4;0,65;22,52;872;10080;26;0;0;0;56;0,650130952
275;15/01/2015 00:00;finishing ;8;0,8;2,9;NaN;1440;0;0;0;0;8;0,606912879
276;15/01/2015 00:00;sweing;10;0,6;22,52;1076;10170;23;0;0;0;56,5;0,600291767
277;15/01/2015 00:00;sweing;11;0,5;14,89;917;9900;30;0;0;0;55;0,500025069
